Designator,Footprint,Quantity,Value,LCSC Part #
"H101, H102",MountingHole_4.3mm_M4_ISO7380_Pad,2,MountingHole,
"J101, J103",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,2,Conn_01x02,
"J102, J104",IDC-Header_2x05_P2.54mm_Vertical,2,Conn_02x05_Odd_Even,
