Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C105, C106",0603,6,.1uF,
"D101, D102, D103, D104, D105, D106",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,6,SK6812MINI,
"H101, H102, H103, H104",MountingHole_2.5mm_Pad,4,MountingHole,
"J101, J102",IDC-Header_2x05_P2.54mm_Vertical,2,Conn_02x05_Odd_Even,
R101,0603,1,10k,
SW101,SW_PUSH_6mm_H5mm,1,SW_Push,
